Name,Year,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Team,Category
NATHAN COULTER NILE,2013,13,48.5,361,18,7.39,20.1,16.3,0,3/13,Mumbai Indians,BOWLER
NATHAN COULTER NILE,2014,6,21,157,8,7.48,19.6,15.8,0,3/15,Mumbai Indians,BOWLER
NATHAN COULTER NILE,2015,14,53.3,402,19,7.51,21.2,16.9,0,4/20,Mumbai Indians,BOWLER
NATHAN COULTER NILE,2016,4,15,114,3,7.6,38,30,0,2/25,Mumbai Indians,BOWLER
NATHAN COULTER NILE,2017,8,28.2,228,15,8.05,15.2,11.3,0,3/20,Mumbai Indians,BOWLER
NATHAN COULTER NILE,2018,4,15,110,4,7.33,27.5,22.5,0,2/22,Mumbai Indians,BOWLER
NATHAN COULTER NILE,2019,11,42,314,12,7.48,26.2,21,0,3/25,Mumbai Indians,BOWLER
NATHAN COULTER NILE,2020,20,67.5,495,18,7.3,27.5,22.6,0,4/10,Mumbai Indians,BOWLER
NATHAN COULTER NILE,2021,3,12,125,5,10.42,25,14.4,0,3/1,Mumbai Indians,BOWLER
MARCO JANSEN,2019,3,10,105,1,10.5,105,60,0,1/1,Mumbai Indians,BOWLER
RAHUL CHAHAR,2017,2,7,58,2,8.29,29,21,0,1/26,Mumbai Indians,BOWLER
RAHUL CHAHAR,2019,13,47,308,13,6.55,23.7,21.7,0,3/19,Mumbai Indians,BOWLER
RAHUL CHAHAR,2020,15,53,433,15,8.17,28.9,21.2,0,2/18,Mumbai Indians,BOWLER
RAHUL CHAHAR,2021,3,12,76,6,6.33,12.7,12,1,5/14,Mumbai Indians,BOWLER
JAYANT YADAV,2015,3,7,29,2,4.14,14.5,21,0,1/8,Mumbai Indians,BOWLER
JAYANT YADAV,2016,5,17,125,2,7.35,62.5,51,0,1/23,Mumbai Indians,BOWLER
JAYANT YADAV,2017,2,6,42,0,7,NA,NA,0,0/16,Mumbai Indians,BOWLER
JAYANT YADAV,2019,2,7,50,1,7.14,50,42,0,1/25,Mumbai Indians,BOWLER
JAYANT YADAV,2020,2,7,43,1,6.14,43,42,0,1/25,Mumbai Indians,BOWLER
JAYANT YADAV,2021,3,11,82,1,7.45,82,66,0,1/1,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2008,15,46.5,389,17,8.31,22.9,16.5,0,3/25,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2009,16,50.5,346,15,6.81,23.1,20.3,0,2/17,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2010,14,49,367,12,7.49,30.6,24.5,0,3/24,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2011,12,41.2,336,16,8.13,21,15.5,0,4/17,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2012,16,57,419,16,7.35,26.2,21.4,0,3/18,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2013,16,58.2,418,11,7.17,38,31.8,0,2/20,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2014,17,61.3,491,19,7.98,25.8,19.4,0,3/19,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2015,13,35,269,11,7.69,24.5,19.1,0,4/1,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2016,11,35.2,273,11,7.73,24.8,19.3,0,2/21,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2017,6,20,179,6,8.95,29.8,20,0,2/1,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2018,15,49,412,14,8.41,29.4,21,0,3/1,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2019,13,44.3,399,10,8.97,39.9,26.7,0,3/20,Mumbai Indians,BOWLER
PIYUSH CHAWLA,2020,7,21,191,6,9.1,31.8,21,0,2/1,Mumbai Indians,BOWLER
KRUNAL PANDYA,2016,11,31.1,236,6,7.57,39.3,31.2,0,2/15,Mumbai Indians,ALL ROUNDER
KRUNAL PANDYA,2017,13,40,273,10,6.82,27.3,24,0,3/14,Mumbai Indians,ALL ROUNDER
KRUNAL PANDYA,2018,13,40.1,284,12,7.07,23.7,20.1,0,3/28,Mumbai Indians,ALL ROUNDER
KRUNAL PANDYA,2019,16,46,335,12,7.28,27.9,23,0,3/1,Mumbai Indians,ALL ROUNDER
KRUNAL PANDYA,2020,16,50.1,380,6,7.57,63.3,50.2,0,2/26,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2009,5,12,97,4,8.08,24.2,18,0,2/25,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2010,15,42,333,15,7.93,22.2,16.8,0,3/17,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2011,21,55.3,434,13,7.82,33.4,25.6,0,2/24,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2012,26,76.2,608,23,7.97,26.4,19.9,0,4/1,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2013,28,64.3,526,21,8.16,25,18.4,0,3/15,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2014,22,45,445,8,9.89,55.6,33.8,0,2/1,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2015,20,47.4,356,17,7.47,20.9,16.8,0,4/30,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2016,11,23.3,227,7,9.66,32.4,20.1,0,2/20,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2017,18,39.5,375,13,9.41,28.8,18.4,0,4/16,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2018,21,55.3,472,18,8.5,26.2,18.5,0,3/1,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2019,26,59.1,505,13,8.54,38.8,27.3,0,2/1,Mumbai Indians,ALL ROUNDER
KIERON POLLARD,2020,17,41,341,12,8.32,28.4,20.5,0,4/30,Mumbai Indians,ALL ROUNDER
HARDIK PANDYA,2015,8,17,176,1,10.35,176,102,0,1/13,Mumbai Indians,ALL ROUNDER
HARDIK PANDYA,2016,10,16.4,153,3,9.18,51,33.3,0,1/7,Mumbai Indians,ALL ROUNDER
HARDIK PANDYA,2017,13,26,213,6,8.19,35.5,26,0,2/22,Mumbai Indians,ALL ROUNDER
HARDIK PANDYA,2018,13,42.4,381,18,8.93,21.2,14.2,0,3/24,Mumbai Indians,ALL ROUNDER
HARDIK PANDYA,2019,16,42.3,390,14,9.18,27.9,18.2,0,3/20,Mumbai Indians,ALL ROUNDER
JAMES NEESHAM,2013,6,22,161,6,7.32,26.8,22,0,3/22,Mumbai Indians,ALL ROUNDER
JAMES NEESHAM,2014,13,32,299,9,9.34,33.2,21.3,0,3/1,Mumbai Indians,ALL ROUNDER
JAMES NEESHAM,2016,12,40.3,381,15,9.41,25.4,16.2,0,4/1,Mumbai Indians,ALL ROUNDER
JAMES NEESHAM,2017,17,60,587,19,9.78,30.9,18.9,0,3/1,Mumbai Indians,ALL ROUNDER
JAMES NEESHAM,2018,2,8,73,5,9.12,14.6,9.6,0,4/24,Mumbai Indians,ALL ROUNDER
JAMES NEESHAM,2019,21,58.3,590,23,10.09,25.7,15.3,0,3/18,Mumbai Indians,ALL ROUNDER
JAMES NEESHAM,2020,9,28,248,6,8.86,41.3,28,0,1/17,Mumbai Indians,ALL ROUNDER
JAMES NEESHAM,2021,6,22.4,185,11,8.16,16.8,12.4,0,3/11,Mumbai Indians,ALL ROUNDER
BHUVNESHWAR KUMAR,2009,1,4,31,0,7.75,NA,NA,0,0/31,Sunrisers Hyderabad,BOWLER
BHUVNESHWAR KUMAR,2011,4,11,67,3,6.09,22.3,22,0,2/14,Sunrisers Hyderabad,BOWLER
BHUVNESHWAR KUMAR,2012,11,39,281,8,7.21,35.1,29.2,0,2/9,Sunrisers Hyderabad,BOWLER
BHUVNESHWAR KUMAR,2013,16,57,371,13,6.51,28.5,26.3,0,3/18,Sunrisers Hyderabad,BOWLER
BHUVNESHWAR KUMAR,2014,14,53.1,354,20,6.66,17.7,16,0,4/14,Sunrisers Hyderabad,BOWLER
BHUVNESHWAR KUMAR,2015,14,51.4,407,18,7.88,22.6,17.2,0,3/26,Sunrisers Hyderabad,BOWLER
BHUVNESHWAR KUMAR,2016,17,66,490,23,7.42,21.3,17.2,0,4/29,Sunrisers Hyderabad,BOWLER
BHUVNESHWAR KUMAR,2017,14,52.2,369,26,7.05,14.2,12.1,1,5/19,Sunrisers Hyderabad,BOWLER
BHUVNESHWAR KUMAR,2018,12,46.1,354,9,7.67,39.3,30.8,0,3/26,Sunrisers Hyderabad,BOWLER
BHUVNESHWAR KUMAR,2019,15,59,461,13,7.81,35.5,27.2,0,2/24,Sunrisers Hyderabad,BOWLER
BHUVNESHWAR KUMAR,2020,4,14.1,99,3,6.99,33,28.3,0,2/25,Sunrisers Hyderabad,BOWLER
SANDEEP SHARMA,2013,4,16,119,8,7.44,14.9,12,0,3/21,Sunrisers Hyderabad,BOWLER
SANDEEP SHARMA,2014,11,40.1,354,18,8.81,19.7,13.4,0,3/15,Sunrisers Hyderabad,BOWLER
SANDEEP SHARMA,2015,14,50,350,13,7,26.9,23.1,0,4/25,Sunrisers Hyderabad,BOWLER
SANDEEP SHARMA,2016,14,50,366,15,7.32,24.4,20,0,2/11,Sunrisers Hyderabad,BOWLER
SANDEEP SHARMA,2017,13,48,398,17,8.29,23.4,16.9,0,4/20,Sunrisers Hyderabad,BOWLER
SANDEEP SHARMA,2018,12,44,333,12,7.57,27.8,22,0,2/17,Sunrisers Hyderabad,BOWLER
SANDEEP SHARMA,2019,11,42.4,352,12,8.25,29.3,21.3,0,3/19,Sunrisers Hyderabad,BOWLER
SANDEEP SHARMA,2020,13,52,374,14,7.19,26.7,22.3,0,3/1,Sunrisers Hyderabad,BOWLER
SANDEEP SHARMA,2021,2,6.2,52,3,8.21,17.3,12.7,0,2/17,Sunrisers Hyderabad,BOWLER
KHALEEL AHMED,2018,1,3,38,0,12.67,NA,NA,0,0/38,Sunrisers Hyderabad,BOWLER
KHALEEL AHMED,2019,9,34.5,287,20,8.24,14.4,10.4,0,3/24,Sunrisers Hyderabad,BOWLER
KHALEEL AHMED,2020,7,25.4,242,8,9.43,30.2,19.2,0,2/24,Sunrisers Hyderabad,BOWLER
KHALEEL AHMED,2021,5,20,164,1,8.2,164,120,0,1/1,Sunrisers Hyderabad,BOWLER
SIDDARTH KAUL,2013,6,21.5,170,4,7.79,42.5,32.8,0,2/27,Sunrisers Hyderabad,BOWLER
SIDDARTH KAUL,2014,5,13,126,2,9.69,63,39,0,1/5,Sunrisers Hyderabad,BOWLER
SIDDARTH KAUL,2017,10,35.4,300,16,8.41,18.8,13.4,0,4/29,Sunrisers Hyderabad,BOWLER
SIDDARTH KAUL,2018,17,66,547,21,8.29,26,18.9,0,3/23,Sunrisers Hyderabad,BOWLER
SIDDARTH KAUL,2019,7,27,242,6,8.96,40.3,27,0,2/1,Sunrisers Hyderabad,BOWLER
SIDDARTH KAUL,2020,1,4,64,2,16,32,12,0,2/1,Sunrisers Hyderabad,BOWLER
SIDDARTH KAUL,2021,2,8,46,4,5.75,11.5,12,0,3/15,Sunrisers Hyderabad,BOWLER
BASIL THAMPI,2017,12,44.4,424,11,9.49,38.5,24.4,0,3/29,Sunrisers Hyderabad,BOWLER
BASIL THAMPI,2018,4,10.1,114,5,11.21,22.8,12.2,0,2/4,Sunrisers Hyderabad,BOWLER
BASIL THAMPI,2019,3,12,110,0,9.17,NA,NA,0,0/29,Sunrisers Hyderabad,BOWLER
BASIL THAMPI,2020,1,4,46,1,11.5,46,24,0,1/1,Sunrisers Hyderabad,BOWLER
BASIL THAMPI,2021,3,11.1,102,0,9.13,NA,NA,0,0/31,Sunrisers Hyderabad,BOWLER
THANGARASU NATARAJAN,2017,6,12.4,115,2,9.08,57.5,38,0,1/26,Sunrisers Hyderabad,BOWLER
THANGARASU NATARAJAN,2020,16,62.5,504,16,8.02,31.5,23.6,0,2/24,Sunrisers Hyderabad,BOWLER
